ACCOUNT_ID,ACCOUNT_NAME,COUNTRY,CREATED_AT,STATUS
ACC-00001,Company 1,FR,2023-07-24 00:00:00.000,active
ACC-00002,Company 2,GB,2022-03-05 00:00:00.000,active
ACC-00003,Company 3,GB,2023-03-09 00:00:00.000,active
ACC-00004,Company 4,DE,2022-03-07 00:00:00.000,active
ACC-00005,Company 5,AU,2023-10-03 00:00:00.000,active
ACC-00006,Company 6,FR,2022-01-10 00:00:00.000,cancelled
ACC-00007,Company 7,GB,2022-09-14 00:00:00.000,active
ACC-00008,Company 8,DE,2022-09-06 00:00:00.000,active
ACC-00009,Company 9,US,2022-12-10 00:00:00.000,trial
ACC-00010,Company 10,FR,2022-11-29 00:00:00.000,active
ACC-00011,Company 11,FR,2023-09-05 00:00:00.000,trial
ACC-00012,Company 12,US,2022-12-30 00:00:00.000,active
ACC-00013,Company 13,FR,2022-03-15 00:00:00.000,cancelled
ACC-00014,Company 14,AU,2022-08-01 00:00:00.000,active
ACC-00015,Company 15,FR,2023-12-13 00:00:00.000,active
ACC-00016,Company 16,AU,2023-07-11 00:00:00.000,active
ACC-00017,Company 17,AU,2023-07-02 00:00:00.000,active
ACC-00018,Company 18,GB,2023-09-15 00:00:00.000,trial
ACC-00019,Company 19,AU,2022-12-10 00:00:00.000,active
ACC-00020,Company 20,FR,2023-02-24 00:00:00.000,active
ACC-00021,Company 21,AU,2023-08-03 00:00:00.000,active
ACC-00022,Company 22,DE,2023-03-11 00:00:00.000,active
ACC-00023,Company 23,GB,2022-01-10 00:00:00.000,active
ACC-00024,Company 24,DE,2022-07-15 00:00:00.000,cancelled
ACC-00025,Company 25,US,2023-11-25 00:00:00.000,active
ACC-00026,Company 26,GB,2023-01-18 00:00:00.000,cancelled
ACC-00027,Company 27,AU,2023-07-08 00:00:00.000,trial
ACC-00028,Company 28,AU,2023-06-23 00:00:00.000,active
ACC-00029,Company 29,GB,2023-08-31 00:00:00.000,active
ACC-00030,Company 30,GB,2022-09-13 00:00:00.000,cancelled
ACC-00031,Company 31,AU,2022-10-09 00:00:00.000,active
ACC-00032,Company 32,FR,2022-07-18 00:00:00.000,active
ACC-00033,Company 33,GB,2023-12-12 00:00:00.000,active
ACC-00034,Company 34,FR,2022-09-22 00:00:00.000,active
ACC-00035,Company 35,DE,2022-07-21 00:00:00.000,active
ACC-00036,Company 36,DE,2023-01-07 00:00:00.000,active
ACC-00037,Company 37,AU,2023-10-03 00:00:00.000,active
ACC-00038,Company 38,GB,2023-03-03 00:00:00.000,active
ACC-00039,Company 39,DE,2022-10-09 00:00:00.000,active
ACC-00040,Company 40,FR,2023-03-12 00:00:00.000,active
ACC-00041,Company 41,US,2022-01-17 00:00:00.000,active
ACC-00043,Company 43,GB,2022-12-23 00:00:00.000,active
ACC-00044,Company 44,AU,2022-09-14 00:00:00.000,active
ACC-00045,Company 45,US,2023-07-13 00:00:00.000,active
ACC-00046,Company 46,GB,2022-04-14 00:00:00.000,active
ACC-00047,Company 47,FR,2022-10-02 00:00:00.000,active
ACC-00048,Company 48,DE,2022-05-03 00:00:00.000,active
ACC-00049,Company 49,US,2022-01-07 00:00:00.000,active
ACC-00050,Company 50,AU,2023-03-12 00:00:00.000,active
ACC-00051,Company 51,FR,2023-04-22 00:00:00.000,active
ACC-00052,Company 52,US,2023-09-15 00:00:00.000,active
ACC-00053,Company 53,DE,2022-01-23 00:00:00.000,active
ACC-00054,Company 54,FR,2023-07-28 00:00:00.000,active
ACC-00055,Company 55,GB,2022-02-01 00:00:00.000,active
ACC-00056,Company 56,AU,2022-11-12 00:00:00.000,active
ACC-00057,Company 57,AU,2022-09-17 00:00:00.000,active
ACC-00058,Company 58,FR,2022-08-16 00:00:00.000,active
ACC-00059,Company 59,FR,2022-09-23 00:00:00.000,cancelled
ACC-00060,Company 60,AU,2024-01-01 00:00:00.000,active
ACC-00061,Company 61,US,2022-12-13 00:00:00.000,active
ACC-00062,Company 62,US,2022-11-25 00:00:00.000,active
ACC-00063,Company 63,FR,2023-09-20 00:00:00.000,active
ACC-00064,Company 64,AU,2023-06-06 00:00:00.000,trial
ACC-00065,Company 65,FR,2023-02-04 00:00:00.000,active
ACC-00066,Company 66,FR,2022-09-14 00:00:00.000,trial
ACC-00067,Company 67,AU,2022-04-19 00:00:00.000,active
ACC-00068,Company 68,FR,2023-01-01 00:00:00.000,active
ACC-00069,Company 69,GB,2023-06-22 00:00:00.000,active
ACC-00070,Company 70,FR,2023-10-28 00:00:00.000,cancelled
ACC-00071,Company 71,GB,2023-11-28 00:00:00.000,active
ACC-00072,Company 72,DE,2022-01-19 00:00:00.000,active
ACC-00073,Company 73,FR,2023-11-19 00:00:00.000,active
ACC-00074,Company 74,DE,2022-07-02 00:00:00.000,active
ACC-00075,Company 75,AU,2022-12-01 00:00:00.000,active
ACC-00076,Company 76,GB,2023-12-21 00:00:00.000,active
ACC-00077,Company 77,DE,2023-05-07 00:00:00.000,active
ACC-00078,Company 78,AU,2022-09-21 00:00:00.000,active
ACC-00079,Company 79,AU,2023-12-19 00:00:00.000,active
ACC-00080,Company 80,AU,2023-10-20 00:00:00.000,active
ACC-00081,Company 81,FR,2022-02-19 00:00:00.000,trial
ACC-00082,Company 82,AU,2022-03-10 00:00:00.000,cancelled
ACC-00083,Company 83,DE,2023-09-16 00:00:00.000,active
ACC-00084,Company 84,GB,2022-07-29 00:00:00.000,active
ACC-00085,Company 85,AU,2022-02-27 00:00:00.000,active
ACC-00086,Company 86,GB,2022-03-28 00:00:00.000,cancelled
ACC-00088,Company 88,DE,2023-02-01 00:00:00.000,active
ACC-00089,Company 89,FR,2023-04-13 00:00:00.000,active
ACC-00090,Company 90,GB,2022-11-02 00:00:00.000,active
ACC-00091,Company 91,US,2023-06-26 00:00:00.000,cancelled
ACC-00092,Company 92,DE,2022-08-28 00:00:00.000,active
ACC-00093,Company 93,DE,2022-04-24 00:00:00.000,trial
ACC-00094,Company 94,US,2023-10-21 00:00:00.000,active
ACC-00095,Company 95,FR,2022-02-08 00:00:00.000,active
ACC-00096,Company 96,AU,2022-12-20 00:00:00.000,cancelled
ACC-00097,Company 97,US,2023-11-14 00:00:00.000,active
ACC-00098,Company 98,GB,2022-12-16 00:00:00.000,trial
ACC-00099,Company 99,AU,2022-05-05 00:00:00.000,active
ACC-00100,Company 100,DE,2023-01-23 00:00:00.000,active
ACC-00101,Company 101,US,2023-08-30 00:00:00.000,active
ACC-00102,Company 102,AU,2022-01-13 00:00:00.000,active
ACC-00103,Company 103,GB,2023-07-01 00:00:00.000,active
ACC-00104,Company 104,FR,2023-01-08 00:00:00.000,active
ACC-00105,Company 105,AU,2023-02-04 00:00:00.000,active
ACC-00106,Company 106,FR,2022-12-12 00:00:00.000,active
ACC-00107,Company 107,AU,2023-10-24 00:00:00.000,active
ACC-00108,Company 108,AU,2023-12-14 00:00:00.000,active
ACC-00109,Company 109,AU,2023-09-29 00:00:00.000,active
ACC-00110,Company 110,DE,2023-04-06 00:00:00.000,cancelled
ACC-00111,Company 111,US,2022-02-01 00:00:00.000,active
ACC-00112,Company 112,AU,2022-08-15 00:00:00.000,trial
ACC-00113,Company 113,AU,2023-12-23 00:00:00.000,cancelled
ACC-00114,Company 114,US,2022-04-14 00:00:00.000,active
ACC-00115,Company 115,GB,2022-08-04 00:00:00.000,cancelled
ACC-00116,Company 116,GB,2022-02-01 00:00:00.000,active
ACC-00117,Company 117,GB,2023-07-23 00:00:00.000,active
ACC-00118,Company 118,GB,2023-08-12 00:00:00.000,active
ACC-00119,Company 119,AU,2022-08-31 00:00:00.000,active
ACC-00120,Company 120,AU,2023-05-02 00:00:00.000,active
ACC-00121,Company 121,DE,2022-05-10 00:00:00.000,active
ACC-00122,Company 122,US,2022-04-05 00:00:00.000,trial
ACC-00123,Company 123,US,2022-09-19 00:00:00.000,active
ACC-00124,Company 124,AU,2022-03-22 00:00:00.000,active
ACC-00125,Company 125,AU,2022-11-12 00:00:00.000,active
ACC-00126,Company 126,GB,2023-11-03 00:00:00.000,active
ACC-00127,Company 127,DE,2022-08-19 00:00:00.000,cancelled
ACC-00128,Company 128,DE,2023-03-10 00:00:00.000,active
ACC-00129,Company 129,US,2022-06-23 00:00:00.000,active
ACC-00130,Company 130,DE,2022-08-27 00:00:00.000,trial
ACC-00131,Company 131,US,2023-11-18 00:00:00.000,active
ACC-00132,Company 132,AU,2022-09-16 00:00:00.000,active
ACC-00133,Company 133,AU,2023-09-28 00:00:00.000,active
ACC-00134,Company 134,AU,2023-01-14 00:00:00.000,active
ACC-00135,Company 135,FR,2023-07-18 00:00:00.000,active
ACC-00136,Company 136,GB,2022-09-16 00:00:00.000,cancelled
ACC-00137,Company 137,DE,2023-10-27 00:00:00.000,active
ACC-00138,Company 138,US,2022-02-09 00:00:00.000,active
ACC-00139,Company 139,AU,2022-12-13 00:00:00.000,active
