INVOICE_ID,ACCOUNT_ID,SUBSCRIPTION_ID,AMOUNT,CURRENCY,STATUS,INVOICE_DATE,PAID_AT
INV-038477,ACC-08678,SUB-012826,299.00,USD,paid,2022-08-29,2022-08-31 11:00:00.000
INV-038478,ACC-08678,SUB-012826,299.00,USD,paid,2022-09-14,2022-09-17 13:00:00.000
INV-038479,ACC-08679,SUB-012827,999.00,GBP,paid,2023-10-31,2023-11-03 03:00:00.000
INV-038480,ACC-08679,SUB-012827,999.00,GBP,failed,2023-10-31,
INV-038481,ACC-08679,SUB-012827,999.00,GBP,paid,2023-11-06,2023-11-07 18:00:00.000
INV-038482,ACC-08680,SUB-012828,999.00,AUD,paid,2024-08-02,2024-08-05 15:00:00.000
INV-038483,ACC-08680,SUB-012828,999.00,AUD,paid,2024-09-03,2024-09-06 21:00:00.000
INV-038484,ACC-08680,SUB-012828,999.00,AUD,paid,2024-05-26,2024-05-29 17:00:00.000
INV-038485,ACC-08681,SUB-012829,999.00,GBP,paid,2024-04-05,2024-04-07 23:00:00.000
INV-038486,ACC-08681,SUB-012829,999.00,GBP,paid,2024-06-27,2024-06-29 13:00:00.000
INV-038487,ACC-08681,SUB-012829,999.00,GBP,paid,2024-05-27,2024-05-30 08:00:00.000
INV-038488,ACC-08681,SUB-012830,299.00,GBP,paid,2025-10-21,2025-10-24 13:00:00.000
INV-038489,ACC-08681,SUB-012830,299.00,GBP,paid,2026-02-01,2026-02-03 15:00:00.000
INV-038490,ACC-08681,SUB-012830,299.00,GBP,paid,2026-03-15,2026-03-18 06:00:00.000
INV-038491,ACC-08685,SUB-012831,999.00,EUR,paid,2024-05-07,2024-05-09 22:00:00.000
INV-038492,ACC-08685,SUB-012831,999.00,EUR,paid,2025-11-13,2025-11-14 05:00:00.000
INV-038493,ACC-08685,SUB-012831,999.00,EUR,paid,2024-10-06,2024-10-07 08:00:00.000
INV-038494,ACC-08686,SUB-012832,999.00,EUR,pending,2022-12-22,
INV-038495,ACC-08686,SUB-012832,999.00,EUR,paid,2022-12-10,2022-12-11 08:00:00.000
INV-038496,ACC-08686,SUB-012832,999.00,EUR,pending,2023-03-11,
INV-038497,ACC-08686,SUB-012833,299.00,EUR,paid,2023-04-11,2023-04-12 12:00:00.000
INV-038498,ACC-08686,SUB-012833,299.00,EUR,paid,2023-04-20,2023-04-22 23:00:00.000
