SUBSCRIPTION_ID,ACCOUNT_ID,PLAN_NAME,PLAN_INTERVAL,PLAN_PRICE,START_DATE,END_DATE,CANCELLED_AT
SUB-000001,ACC-00001,enterprise,annual,11988,2023-07-29,2024-11-21,
SUB-000002,ACC-00001,pro,monthly,499,2024-11-21,2024-12-16,2024-12-14 00:00:00.000 -0800
SUB-000003,ACC-00002,enterprise,monthly,999,2022-03-16,,
SUB-000004,ACC-00003,enterprise,annual,11988,2023-03-18,2023-04-03,2023-04-01 00:00:00.000 -0700
SUB-000005,ACC-00004,enterprise,annual,11988,2022-03-20,,
SUB-000006,ACC-00005,enterprise,annual,11988,2023-10-28,2025-01-27,
SUB-000007,ACC-00005,starter,annual,3588,2025-01-27,2026-07-24,
SUB-000008,ACC-00006,pro,monthly,499,2022-01-12,2022-03-20,
SUB-000009,ACC-00006,enterprise,annual,11988,2022-03-20,2022-04-17,2022-04-15 00:00:00.000 -0700
SUB-000010,ACC-00007,enterprise,annual,11988,2022-09-21,2024-01-04,
SUB-000011,ACC-00007,starter,monthly,299,2024-01-04,2024-03-31,
SUB-000012,ACC-00007,starter,annual,3588,2024-03-31,2024-04-19,2024-04-17 00:00:00.000 -0700
SUB-000013,ACC-00008,enterprise,annual,11988,2022-09-16,2024-07-15,
SUB-000014,ACC-00008,starter,annual,3588,2024-07-15,2025-08-18,
SUB-000015,ACC-00008,pro,monthly,499,2025-08-18,,
SUB-000016,ACC-00010,enterprise,monthly,999,2022-12-22,2023-03-14,
SUB-000017,ACC-00010,pro,monthly,499,2023-03-14,,
SUB-000018,ACC-00012,starter,monthly,299,2023-01-08,,
SUB-000019,ACC-00013,enterprise,annual,11988,2022-04-10,2024-02-22,
SUB-000020,ACC-00013,starter,annual,3588,2024-02-22,,
SUB-000021,ACC-00014,enterprise,monthly,999,2022-08-10,2022-09-06,2022-09-04 00:00:00.000 -0700
SUB-000022,ACC-00015,pro,annual,5988,2024-01-06,2024-02-01,2024-01-30 00:00:00.000 -0800
SUB-000023,ACC-00016,starter,monthly,299,2023-07-26,,
SUB-000024,ACC-00017,enterprise,monthly,999,2023-07-28,2024-01-23,
SUB-000025,ACC-00017,starter,annual,3588,2024-01-23,,
SUB-000026,ACC-00019,starter,monthly,299,2022-12-19,2023-01-16,2023-01-14 00:00:00.000 -0800
SUB-000027,ACC-00020,starter,annual,3588,2023-03-01,2024-10-19,
SUB-000028,ACC-00020,pro,annual,5988,2024-10-19,,
SUB-000029,ACC-00021,pro,annual,5988,2023-08-29,2024-11-17,
SUB-000030,ACC-00021,enterprise,annual,11988,2024-11-17,,
SUB-000031,ACC-00022,enterprise,monthly,999,2023-03-28,,
SUB-000032,ACC-00023,pro,annual,5988,2022-01-22,2022-02-13,2022-02-11 00:00:00.000 -0800
SUB-000033,ACC-00024,starter,monthly,299,2022-08-05,2022-10-07,
SUB-000034,ACC-00024,enterprise,monthly,999,2022-10-07,2022-10-27,2022-10-25 00:00:00.000 -0700
SUB-000035,ACC-00025,starter,annual,3588,2023-12-02,2025-05-20,
SUB-000036,ACC-00025,enterprise,monthly,999,2025-05-20,2025-06-06,2025-06-04 00:00:00.000 -0700
SUB-000037,ACC-00026,pro,annual,5988,2023-02-04,2024-02-19,
SUB-000038,ACC-00026,starter,annual,3588,2024-02-19,2024-03-13,2024-03-11 00:00:00.000 -0700
SUB-000039,ACC-00028,enterprise,monthly,999,2023-07-13,2023-11-05,
SUB-000040,ACC-00028,pro,monthly,499,2023-11-05,,
SUB-000041,ACC-00029,starter,monthly,299,2023-09-10,2023-10-01,2023-09-29 00:00:00.000 -0700
SUB-000042,ACC-00030,pro,monthly,499,2022-09-26,2023-02-06,
SUB-000043,ACC-00030,enterprise,annual,11988,2023-02-06,2023-03-06,2023-03-04 00:00:00.000 -0800
SUB-000044,ACC-00031,pro,monthly,499,2022-11-01,,
SUB-000045,ACC-00032,enterprise,monthly,999,2022-08-03,2023-01-12,
SUB-000046,ACC-00032,starter,annual,3588,2023-01-12,2024-01-15,
SUB-000047,ACC-00032,pro,monthly,499,2024-01-15,2024-01-30,2024-01-28 00:00:00.000 -0800
SUB-000048,ACC-00033,pro,annual,5988,2023-12-30,2025-07-02,
SUB-000049,ACC-00033,enterprise,monthly,999,2025-07-02,,
SUB-000050,ACC-00034,starter,annual,3588,2022-10-03,2022-10-26,2022-10-24 00:00:00.000 -0700
SUB-000051,ACC-00035,starter,annual,3588,2022-08-05,,
